Checklist	ERC000011	ENA default sample checklist					
tax_id	scientific_name	sample_alias	sample_title	sample_description	cell_type	dev_stage	cell_line
7227	Drosophila melanogaster	CDK2RLUC_1	TX_2	CDK2 RNAi replicate 1	hemocyte	embryo	S2
7227	Drosophila melanogaster	CDK2RLUC_2	TX_6	CDK2 RNAi replicate 2	hemocyte	embryo	S3
7227	Drosophila melanogaster	CSN5CDK2_1	TX_4	Combinatorial RNAi replicate 1	hemocyte	embryo	S4
7227	Drosophila melanogaster	CSN5RLUC_1	TX_1	CSN5 RNAi repliacte 1	hemocyte	embryo	S5
7227	Drosophila melanogaster	CSN8CDK2_2	TX_8	Combinatorial RNAi replicate 2	hemocyte	embryo	S6
7227	Drosophila melanogaster	CSN8RLUC_2	TX_5	CSN8 RNAI replicate 2	hemocyte	embryo	S7
7227	Drosophila melanogaster	RLUCRLUC_1	TX_3	Control RNAi replicate 1	hemocyte	embryo	S8
7227	Drosophila melanogaster	RLUCRLUC_2	TX_7	Control RNAi replicate 2	hemocyte	embryo	S9
